IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,fuzzy_dense_membership_threshold,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
676,0.498398857980632,8640.0,region_growing,,,,,normal,,,-113.0,931.25,percentile,10.75,,,11951957,11942959,275,144,144,0,131,274,0.5236363636363637,yes,both tolerable,yes,no,,,no,yes,no,no,1.1576348337032387,0.8916609243998318,"(77, 185, 138)","(98, 161, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
44,0.5013740669781797,71320.0,region_growing,,,,,normal,,,-141.25,1030.25,percentile,10.75,,,7262580,7227632,206,78,78,0,128,205,0.3786407766990291,yes,both tolerable,yes,no,,,no,yes,no,yes,0.58984375,0.0,"(97, 131, 150)","(110, 91, 177)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
129,0.7174418975356266,29397.0,region_growing,,,,,normal,,,-107.5,930.25,percentile,10.75,,,10794524,10785841,275,125,125,0,150,274,0.4545454545454545,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
518,0.7162704413929385,27586.0,region_growing,,,,,normal,,,-108.0,573.5,percentile,10.75,,,10157023,10148237,243,93,93,0,150,242,0.382716049382716,yes,both tolerable,yes,no,,,no,yes,no,no,0.69140625,0.69140625,"(108, 160, 161)","(126, 127, 193)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
793,0.7202712100139083,19590.0,region_growing,,,,,normal,,,-105.75,708.0,percentile,10.75,,,8574103,8567093,206,58,58,0,148,205,0.2815533980582524,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
550,0.5419757365684575,11406.0,region_growing,,,,,normal,,,-114.25,854.25,percentile,10.75,,,11502700,11491808,275,98,98,0,177,274,0.3563636363636364,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.6331862610496235,"(97, 158, 200)","(113, 127, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
631,0.7279902324161689,23878.0,region_growing,,,,,normal,,,-114.25,666.5,percentile,10.75,,,10095484,10085998,275,133,133,0,142,274,0.4836363636363636,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.113000238656758,"(94, 132, 153)","(123, 95, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
330,0.6799826882975515,42989.0,region_growing,,,,,normal,,,-113.0,706.75,percentile,10.75,,,9602390,9573608,275,101,101,0,174,274,0.3672727272727272,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.974511812933532,"(105, 141, 195)","(119, 113, 222)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
90,0.3853561741093371,16623.0,region_growing,,,,,normal,,,-117.5,719.0,percentile,10.75,,,10929394,10923068,275,131,131,0,144,274,0.4763636363636364,yes,both tolerable,yes,no,,,no,yes,no,no,1.4761542507713454,0.5,"(86, 154, 150)","(113, 120, 186)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
608,0.6767296060009929,32264.0,region_growing,,,,,normal,,,-121.25,749.5,percentile,10.75,,,7996157,7989899,206,82,82,0,124,205,0.3980582524271844,yes,both tolerable,yes,no,,,no,yes,no,no,1.3680800657879093,0.5,"(92, 126, 142)","(97, 80, 173)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.8,percentile,no,per_volume,region_growing,5,no,yes
