IMG_ID,normal_rg,normal_threshold_fc,rg_variant,fc_variant,fc_minus_rg,ostia_status,left_dist_mm,right_dist_mm,fuzzy_threshold_fc,fuzzy_threshold_rg,fuzzy_threshold_balanced_fc,fuzzy_threshold_balanced_rg,normal_fc_semi_permissive,normal_fc_permissive,normal_fc_strict
13,0.5726432920428302,0.5460857296675145,normal_rg,normal_threshold_fc,-0.026557562375315702,both_tolerable,2.0859375,1.1031404921008474,,,,,,,
28,0.6709658928059616,0.6566606660666067,normal_rg,normal_threshold_fc,-0.01430522673935497,both_tolerable,1.0737001589130926,0.8375058302035873,,,,,,,
44,0.15628892971009903,0.3171667829727844,normal_rg,normal_threshold_fc,0.16087785326268536,found_but_wrong,0.58984375,26.54707531238802,,,,,,,
90,0.6790472676587546,0.5472710136235113,normal_rg,normal_threshold_fc,-0.1317762540352433,both_tolerable,0.66015625,0.5,,,,,,,
129,0.7126447678184892,0.7076324065292268,normal_rg,normal_threshold_fc,-0.0050123612892624125,both_tolerable,2.23828125,0.5,,,,,,,
175,0.45843219495767445,0.5923744364649646,normal_rg,normal_threshold_fc,0.13394224150729012,both_tolerable,0.9004562916672442,0.5,,,,,,,
194,0.789477826928829,0.7851837146591228,normal_rg,normal_threshold_fc,-0.004294112269706107,both_tolerable,0.8095744354916121,1.345667690480501,,,,,,,
305,0.6876775376649528,0.6891080131474555,normal_rg,normal_threshold_fc,0.0014304754825027466,both_tolerable,1.8419615266408254,0.0,,,,,,,
315,0.646501922778458,0.6445865287543614,normal_rg,normal_threshold_fc,-0.0019153940240965728,both_tolerable,0.0,0.5,,,,,,,
330,0.6197146684842645,0.5924976258309592,normal_rg,normal_threshold_fc,-0.027217042653305268,both_tolerable,0.0,1.9745118129335317,,,,,,,
344,0.7381695928277923,0.731856982289863,normal_rg,normal_threshold_fc,-0.0063126105379293085,both_tolerable,2.4154905767902513,0.0,,,,,,,
380,0.5410466097957435,0.5789442057506835,normal_rg,normal_threshold_fc,0.03789759595494002,both_tolerable,2.295722101174337,1.739843048383334,,,,,,,
428,0.6234361008059358,0.629411219040299,normal_rg,normal_threshold_fc,0.0059751182343631415,both_tolerable,0.0,1.2202077119702048,,,,,,,
447,0.467348882947666,0.47853380019557745,normal_rg,normal_threshold_fc,0.01118491724791143,found_but_wrong,0.0,11.282064223559944,,,,,,,
518,0.6671289095440661,0.6703087885985748,normal_rg,normal_threshold_fc,0.003179879054508672,both_tolerable,0.0,0.8532541254157887,,,,,,,
538,0.5561581525542337,0.4413952815168621,normal_rg,normal_threshold_fc,-0.11476287103737165,both_tolerable,0.0,0.8095744354916121,,,,,,,
550,0.5417879417879418,0.5424845573095401,normal_rg,normal_threshold_fc,0.0006966155215983871,both_tolerable,0.0,1.6331862610496237,,,,,,,
603,0.4381347508535373,0.4394614815976345,normal_rg,normal_threshold_fc,0.001326730744097171,found_but_wrong,0.0,27.84537235076125,,,,,,,
608,0.6666666666666666,0.70297765778456,normal_rg,normal_threshold_fc,0.036310991117893376,both_tolerable,1.3680800657879093,0.5,,,,,,,
631,0.7243157984482905,0.7020006706158489,normal_rg,normal_threshold_fc,-0.022315127832441606,both_tolerable,0.0,1.113000238656758,,,,,,,
676,0.4987987289777571,0.4368136371086707,normal_rg,normal_threshold_fc,-0.061985091869086406,both_tolerable,1.1576348337032387,0.8916609243998318,,,,,,,
696,0.6303600323624595,0.6633392106333921,normal_rg,normal_threshold_fc,0.03297917827093255,both_tolerable,0.0,1.739843048383334,,,,,,,
752,0.5856114949368065,0.7263222720307062,normal_rg,normal_threshold_fc,0.14071077709389967,both_tolerable,0.0,0.5,,,,,,,
760,0.7184318282425852,0.6819557977596125,normal_rg,normal_threshold_fc,-0.036476030482972766,both_tolerable,0.0,1.0541954870895625,,,,,,,
793,0.7084307131049421,0.7264929911028611,normal_rg,normal_threshold_fc,0.01806227799791904,both_tolerable,0.8437861682062879,2.7741306352170945,,,,,,,
836,0.7438879393624136,0.7180410230037384,normal_rg,normal_threshold_fc,-0.025846916358675198,both_tolerable,0.9004562916672442,0.5,,,,,,,
854,0.6313070183361936,0.6349572753411898,normal_rg,normal_threshold_fc,0.0036502570049962157,both_tolerable,1.2734375,0.63671875,,,,,,,
887,0.550806599263584,0.5511237929822385,normal_rg,normal_threshold_fc,0.00031719371865446266,both_tolerable,0.7890625,0.0,,,,,,,
937,0.6849258025439128,0.6486475116738883,normal_rg,normal_threshold_fc,-0.03627829087002443,both_tolerable,1.390625,2.160392872438078,,,,,,,
965,0.4815496709495456,0.46742390716428184,normal_rg,normal_threshold_fc,-0.014125763785263756,both_tolerable,1.4820293967437015,5.215854595380919,,,,,,,
13,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.026642979944976664,both_tolerable,2.0859375,1.1031404921008474,0.5459715639810426,0.5726145439260193,,,,,
28,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.01417166427586214,both_tolerable,1.0737001589130926,0.8375058302035873,0.6565592945834083,0.6707309588592705,,,,,
44,,,fuzzy_threshold_rg,fuzzy_threshold_fc,0.05966560974648938,both_tolerable,0.58984375,0.0,0.6748322029316,0.6151665931851106,,,,,
90,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.0170413282652927,both_tolerable,1.4761542507713454,0.5,0.36924732779097386,0.38628865605626655,,,,,
129,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.004529117155063878,both_tolerable,2.23828125,0.5,0.7080968031072602,0.7126259202623241,,,,,
175,,,fuzzy_threshold_rg,fuzzy_threshold_fc,0.13253326890974831,both_tolerable,0.9004562916672442,0.5,0.5928331365246616,0.4602998676149133,,,,,
194,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.004188904725773379,both_tolerable,0.8095744354916121,1.345667690480501,0.7851837146591228,0.7893726193848962,,,,,
305,,,fuzzy_threshold_rg,fuzzy_threshold_fc,-0.0012543365002968265,both_tolerable,1.8419615266408254,0.0,0.6887384380661772,0.689992774566474,,,,,
