IMG_ID,artery_dice,artery_voxel_count,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,lower_threshold_object_percentile,lower_threshold_object_center_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_out_of_tolerance_as_miss,aorta_interpolate_missed_circles
44,0.0,17072,region_growing,,,,,normal,-141.75,1039.75,percentile,10.6,,,7278015,6662650,206,93,93,0,113,205,0.4514563106796116,yes,found but incorrect,yes,yes,,,no,no,no,no,17.29545641201758,inf,"(155, 94, 113)",,,no ostium correct,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
129,0.720987733607347,28947,region_growing,,,,,normal,-108.0,983.0,percentile,10.6,,,10817945,10629862,275,125,125,0,150,274,0.4545454545454545,yes,both tolerable,yes,no,,,no,yes,no,no,2.23828125,0.5,"(96, 156, 163)","(109, 118, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
518,0.7173505015237441,27542,region_growing,,,,,normal,-108.5,594.75,percentile,10.6,,,10181045,9837813,243,93,93,0,150,242,0.382716049382716,yes,both tolerable,yes,no,,,no,yes,no,no,0.69140625,0.8532541254157887,"(108, 160, 161)","(125, 127, 194)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
793,0.7254955363897715,18123,region_growing,,,,,normal,-106.25,748.25,percentile,10.6,,,8597800,8452868,206,58,58,0,148,205,0.2815533980582524,yes,both tolerable,yes,no,,,no,yes,no,no,0.8437861682062879,2.7741306352170945,"(97, 148, 141)","(109, 116, 181)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
550,0.5419757365684575,11406,region_growing,,,,,normal,-114.75,893.75,percentile,10.6,,,11538089,11425763,275,98,98,0,177,274,0.3563636363636364,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.6331862610496235,"(97, 158, 200)","(113, 127, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
631,0.7298785776235907,24132,region_growing,,,,,normal,-114.75,743.8504028320312,percentile,10.6,,,10118480,9452148,275,133,133,0,142,274,0.4836363636363636,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.113000238656758,"(94, 132, 153)","(123, 95, 199)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
330,0.4673772433269563,21625,region_growing,,,,,normal,-113.5,719.5,percentile,10.6,,,9625764,9339000,275,107,107,0,168,274,0.3890909090909091,yes,found but incorrect,yes,yes,,,no,no,no,no,1.974511812933532,41.5599581063053,"(119, 113, 222)","(64, 56, 175)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
90,0.6822641299973634,33755,region_growing,,,,,normal,-118.0,746.25,percentile,10.6,,,10951909,10487677,275,134,134,0,141,274,0.4872727272727272,yes,both tolerable,yes,no,,,no,yes,no,no,1.4761542507713454,0.8281342128025279,"(86, 154, 150)","(113, 121, 186)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
608,0.6808479478636547,32499,region_growing,,,,,normal,-121.75,803.25,percentile,10.6,,,8017022,7930356,206,135,135,0,71,205,0.6553398058252428,yes,both tolerable,yes,no,,,no,yes,no,no,1.3680800657879093,0.5,"(92, 126, 142)","(97, 80, 173)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
887,0.55069926511003,16428,region_growing,,,,,normal,-115.75,846.0,percentile,10.6,,,10291177,9919979,275,114,114,0,161,274,0.4145454545454545,yes,both tolerable,yes,no,,,no,yes,no,yes,0.7890625,0.0,"(106, 164, 190)","(128, 128, 208)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
175,0.4724566542633204,39273,region_growing,,,,,normal,-101.25,912.25,percentile,10.6,,,9173188,8955768,231,105,105,0,126,230,0.4545454545454545,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(98, 197, 169)","(131, 162, 191)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
760,0.7225852172064346,35302,region_growing,,,,,normal,-109.75,832.25,percentile,10.6,,,10406471,9262457,275,103,103,0,172,274,0.3745454545454545,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.0541954870895625,"(88, 165, 197)","(107, 127, 225)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
696,0.631050629964039,18570,region_growing,,,,,normal,-108.0,828.5,percentile,10.6,,,7945810,7749560,223,64,64,0,159,222,0.2869955156950672,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.739843048383334,"(99, 137, 163)","(122, 103, 195)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
194,0.7988369104228248,32343,region_growing,,,,,normal,-97.0,1094.0,percentile,10.6,,,11627902,11224489,275,118,118,0,157,274,0.4290909090909091,yes,both tolerable,yes,no,,,no,yes,no,no,0.8095744354916121,1.345667690480501,"(89, 155, 168)","(122, 122, 211)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
305,0.690806865993968,27534,region_growing,,,,,normal,-120.5,884.5,percentile,10.6,,,10255019,9785780,267,104,104,0,163,266,0.3895131086142322,yes,both tolerable,yes,no,,,no,yes,no,yes,1.8419615266408251,0.0,"(98, 162, 177)","(118, 129, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
344,0.7432345021586413,34377,region_growing,,,,,normal,-125.0,804.75,percentile,10.6,,,11319802,9917428,275,120,120,0,155,274,0.4363636363636363,yes,both tolerable,yes,no,,,no,yes,no,yes,2.3132520947588597,0.0,"(96, 162, 175)","(115, 134, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.85,percentile,yes,per_slice,rg,5,no,yes
