IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_recovered_initialization,aorta_circle_filter_method,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_interpolated_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_circle_filter_fallback_enabled,aorta_circle_filter_accepted,aorta_circle_filter_rejected,aorta_circle_filter_rejection_reason,aorta_circle_filter_candidate_controller_state,aorta_circle_filter_fallback_controller_state,aorta_circle_filter_candidate_mask_voxel_count,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_mode,aorta_level_set_iterations_used,aorta_level_set_stop_reason,aorta_level_set_checkpoint_count,aorta_level_set_rolled_back,aorta_level_set_mask_change_fraction,aorta_level_set_voxels_per_segmented_slice,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_level_set_leak_suspected,aorta_level_set_localization_suspected,aorta_level_set_leak_signal_count,aorta_level_set_trigger_iteration,aorta_level_set_trigger_volume_fraction,aorta_level_set_trigger_relative_growth,aorta_level_set_trigger_mask_change_fraction,aorta_level_set_trigger_circle_fill_q25,aorta_level_set_trigger_circle_area_ratio_p90,aorta_level_set_correction_applied,aorta_level_set_correction_method,aorta_level_set_refinement_applied,aorta_level_set_refinement_accepted,aorta_level_set_refinement_iterations,aorta_level_set_refinement_balloon,aorta_level_set_refinement_smoothing,aorta_level_set_refinement_transition_mode,aorta_level_set_refinement_anomaly_margin_slices,aorta_level_set_refinement_volume_loss_fraction,aorta_level_set_slice_area_jump_p95_before,aorta_level_set_slice_area_jump_p95_after,aorta_level_set_refinement_rejection_reason,aorta_level_set_controller_state,aorta_level_set_profile_used,aorta_level_set_rollback_iteration,aorta_level_set_circle_confidence_signal_count,aorta_level_set_alternative_attempted,aorta_level_set_alternative_accepted,aorta_level_set_conservative_attempted,aorta_level_set_conservative_accepted,aorta_level_set_permissive_attempted,aorta_level_set_permissive_accepted,aorta_level_set_nominal_volume_fraction,aorta_level_set_nominal_circle_fill_q25,aorta_level_set_nominal_circle_area_ratio_p90,aorta_level_set_final_volume_fraction,aorta_level_set_decision_reason,ostia_surface_mode,ostia_surface_thickness_mm,ostia_candidate_score_mode,ostia_pair_selection_mode,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_interpolate_missed_circles
752,0.5450136404971203,0.2667931319616713,0.5450136404971203,0.278220508535449,28462,6899,28462,region_growing,,,,,normal,,-300.0,903.0,fixed,,8653631,7884489,275,18022400,112,112,0,163,274,0.4072727272727273,18.0,28.0,22.56234925788497,22.58571428571429,2.6951032416391216,19.0,25.88888888888889,11.4609375,17.828125,14.365870816543946,14.380747767857144,1.7160227671374093,12.09765625,16.48394097222222,14.380747767857144,,17.828125,16.873046875,4.138671875,1.2309895833333329,0.3974890614667762,0.026785714285714284,0.0,no,none,False,112,112,0,0,,0.4072727272727273,0.4072727272727273,disabled,False,False,False,,oversegmented,,295828,295828,122,2424.8196721311474,0.01641446200284091,adaptive,31,conservative_accepted,4,yes,0.0222636887267721,2424.8196721311474,0.9483118024411517,2.71167647354895,yes,no,1,31,0.0170501708984375,0.058552196439398116,0.0557373955594888,0.9483118024411517,2.8673209946243814,yes,conservative,no,no,,,,,,,0.041981132075471696,0.04363636363636364,not_attempted,oversegmented,conservative,26.0,1,yes,yes,yes,yes,no,no,0.0170501708984375,0.9483118024411517,2.8673209946243814,0.01641446200284091,accepted,erosion,2.0,voxel,greedy,yes,found but incorrect,yes,yes,,,no,no,no,no,14.23387813433725,0.5,"(95, 153, 184)","(117, 132, 234)",,no ostium correct,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
13,0.5726432920428302,0.2777446841573645,0.5726432920428302,0.2948986078854657,24542,5997,24542,region_growing,,,,,normal,,-300.0,1095.5,fixed,,12370388,12169474,241,15794176,66,66,0,175,240,0.27385892116182575,18.0,23.875,21.451569264069267,22.2875,1.8107250707849116,18.5,23.5,12.515625,16.6005859375,14.91554425392316,15.49677734375,1.2590197757801338,12.86328125,16.33984375,15.49677734375,,15.296875,15.605902777777777,1.6513671875,0.9331535218253961,0.45532254374166137,0.06060606060606061,0.0,no,none,False,66,66,0,0,,0.27385892116182575,0.27385892116182575,disabled,False,False,False,,adequate,,119383,119383,76,1570.828947368421,0.007558672259952023,adaptive,31,nominal_complete,4,no,0.00963020030816641,1570.828947368421,0.9212317562180807,1.5344179091380092,no,no,0,31,0.007558672259952023,0.009163222005257864,0.00963020030816641,0.9212317562180807,1.5344179091380092,no,none,no,no,,,,,,,0.07879385848081573,0.07879385848081573,not_attempted,adequate,nominal,,1,no,no,no,no,no,no,0.007558672259952023,0.9212317562180807,1.5344179091380092,0.007558672259952023,nominal_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,2.0859375,1.1031404921008474,"(114, 173, 173)","(130, 145, 202)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
538,0.5561581525542337,0.284821695636279,0.5561581525542337,0.2713364569179547,21014,5375,21014,region_growing,,,,,normal,,-300.0,733.75,fixed,,12531697,12105119,275,18022400,107,107,0,168,274,0.3890909090909091,18.0,26.428571428571427,22.981656349880645,23.88888888888889,2.1938106666539694,19.8,25.166666666666668,11.4609375,16.82756696428571,14.63285150402557,15.210503472222223,1.396840385408582,12.60703125,16.024088541666668,15.210503472222223,,11.4609375,15.645089285714286,2.0920758928571423,0.9095982142857117,0.47105901396087546,0.018691588785046728,0.0,no,none,False,107,107,0,0,,0.3890909090909091,0.3890909090909091,disabled,False,False,False,,adequate,,220539,220539,117,1884.948717948718,0.0122369384765625,adaptive,31,nominal_complete,4,no,0.02306534804245946,1884.948717948718,0.9303568125141457,1.779969509966455,no,no,0,31,0.0122369384765625,0.02271841958820256,0.02306534804245946,0.9303568125141457,1.779969509966455,no,none,no,no,,,,,,,0.06855215857740114,0.06855215857740114,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.0122369384765625,0.9303568125141457,1.779969509966455,0.0122369384765625,nominal_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,0.8095744354916121,"(102, 175, 202)","(127, 140, 218)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
965,0.48249819014263634,0.2320528682217327,0.48249819014263634,0.25044532192090363,23446,5476,23446,region_growing,,,,,normal,,-300.0,797.25,fixed,,12633842,12495820,275,18022400,92,92,0,183,274,0.33454545454545453,18.333333333333332,24.0,21.323714298986037,21.666666666666668,1.1521809861410426,19.5,22.490000000000002,14.179687499999998,18.5625,16.492560278122014,16.7578125,0.8911399814684627,15.08203125,17.394609375,16.7578125,,18.5625,17.4453125,3.8671875,0.7734375,0.49673270924869384,0.0,0.0,no,none,False,92,92,0,0,,0.33454545454545453,0.33454545454545453,disabled,False,False,False,,adequate,,154597,154597,102,1515.6568627450981,0.008578047318892045,adaptive,31,nominal_complete,4,no,0.004320408757235715,1515.6568627450981,0.9539191487168917,1.3453690556754654,no,no,0,31,0.008578047318892045,0.004104829019582373,0.004320408757235715,0.9539191487168917,1.3453690556754654,no,none,no,no,,,,,,,0.0692410119840213,0.0692410119840213,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.008578047318892045,0.9539191487168917,1.3453690556754654,0.008578047318892045,nominal_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,1.4820293967437015,5.215854595380919,"(107, 153, 174)","(117, 128, 201)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
447,0.467348882947666,0.2101953550767167,0.467348882947666,0.25715352787094936,11634,2947,11634,region_growing,,,,,normal,,-300.0,1015.0,fixed,,11716655,11537963,245,16056320,95,95,0,150,244,0.3877551020408163,18.0,24.666666666666668,21.198386876281614,21.25,1.5755316773532078,18.7,23.35151515151515,12.515625,17.151041666666668,14.739503374914559,14.775390625,1.0954868694096525,13.00234375,16.23660037878788,14.775390625,,13.2109375,16.53298611111111,1.9700520833333321,0.9105282738095234,0.4869757462168758,0.010526315789473684,0.0,no,none,False,95,95,0,0,,0.3877551020408163,0.3877551020408163,disabled,False,False,False,,adequate,,158657,158657,105,1511.0190476190476,0.009881280393016582,adaptive,31,nominal_complete,4,no,0.02521913932282641,1511.0190476190476,0.9154848275260582,1.5778939683470905,no,no,0,31,0.009881280393016582,0.025452594703947156,0.02521913932282641,0.9154848275260582,1.5778939683470905,no,none,no,no,,,,,,,0.0717972350230414,0.0717972350230414,not_attempted,adequate,nominal,,0,no,no,no,no,no,no,0.009881280393016582,0.9154848275260582,1.5778939683470905,0.009881280393016582,nominal_complete,erosion,2.0,voxel,greedy,yes,found but incorrect,yes,yes,,,no,no,yes,no,0.0,11.282064223559944,"(119, 186, 173)","(141, 141, 166)",,one ostium correct,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
836,0.7438879393624136,0.38678442533963203,0.7438879393624136,0.35710351402278157,26640,6893,26640,region_growing,,,,,normal,,-300.0,942.25,fixed,,10905684,10351152,275,18022400,114,114,0,161,274,0.41454545454545455,18.0,26.5,21.76773404470773,22.118055555555557,2.1029968839047286,18.5,24.1,11.4609375,16.873046875,13.85992441127875,14.08298068576389,1.339017547173714,11.779296875,15.344921875,14.08298068576389,,11.4609375,15.372209821428571,4.138671875,0.700905145202021,0.4409751173106384,0.05263157894736842,0.0,no,none,False,114,114,0,0,,0.41454545454545455,0.41454545454545455,disabled,False,False,False,,adequate,,211046,211046,124,1701.983870967742,0.011710205078125,adaptive,31,nominal_complete,4,no,0.030943314008563524,1701.983870967742,0.9230849263379852,1.7333356753271898,no,no,0,31,0.011710205078125,0.031117321438168432,0.030943314008563524,0.9230849263379852,1.7333356753271898,no,none,no,no,,,,,,,0.07083125793451218,0.07083125793451218,not_attempted,adequate,nominal,,1,no,no,no,no,no,no,0.011710205078125,0.9230849263379852,1.7333356753271898,0.011710205078125,nominal_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,0.9004562916672442,0.5,"(101, 138, 174)","(126, 105, 209)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes
