IMG_ID,dice_artery,artery_voxels,both_correct,both_tolerable,left_intersects,right_intersects,left_dist_mm,right_dist_mm,ostia_left,ostia_right,error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
32,,,False,False,False,True,10.828249711808878,0.0,"(92, 168, 176)","(137, 135, 210)",,um correto,scipy,N/A,"(2, 2, 1)",99.7
647,0.7260726072607261,27249.0,False,True,False,False,1.42984758325079,0.8787673501354397,"(102, 160, 192)","(112, 129, 234)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
526,0.7197106690777577,20916.0,False,True,False,False,1.0938058021479407,1.8564512201543297,"(89, 162, 157)","(111, 129, 193)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
339,0.04981738495252009,1602.0,False,True,False,True,2.508512120090438,0.0,"(97, 169, 154)","(106, 132, 201)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
810,0.5498309945713408,16396.0,False,True,False,False,1.53125,0.9144296805249708,"(113, 163, 176)","(126, 133, 209)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
570,0.44712506598369467,16402.0,False,True,False,False,1.2734375,1.5089909983190133,"(94, 187, 198)","(112, 149, 226)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
899,0.795513118424944,23880.0,True,True,True,True,0.0,0.0,"(84, 158, 177)","(107, 124, 207)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
606,,,False,False,False,False,1.3671875,18.650462110587945,"(83, 159, 157)","(88, 122, 140)",,nenhum correto,scipy,N/A,"(2, 2, 1)",99.7
364,0.6466144017756783,29046.0,False,True,True,False,0.0,0.8819824637747907,"(106, 170, 132)","(128, 142, 174)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
813,0.7317827803264696,22262.0,False,True,True,False,0.0,1.0785919505091464,"(106, 190, 154)","(125, 153, 184)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
883,0.613498545010795,27261.0,True,True,True,True,0.0,0.0,"(113, 167, 191)","(136, 137, 220)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
352,0.7184781928540142,25058.0,True,True,True,True,0.0,0.0,"(112, 149, 105)","(123, 112, 162)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
444,0.6294632300780326,40670.0,False,True,True,False,0.0,1.7845449924499313,"(95, 168, 228)","(120, 128, 258)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
434,0.4152714043573525,28425.0,False,True,False,False,0.71484375,0.8723540490615392,"(95, 131, 146)","(113, 97, 183)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
291,0.690675347150686,24528.0,False,True,False,False,1.328125,0.6640625,"(101, 138, 227)","(130, 110, 245)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
705,,,False,False,False,False,10.516129956301059,1.6876627525682524,"(108, 162, 167)","(120, 140, 207)",,nenhum correto,scipy,N/A,"(2, 2, 1)",99.7
219,0.7303916927058675,31875.0,False,True,False,False,0.9111615960418671,0.9111615960418671,"(95, 157, 173)","(118, 131, 211)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
227,0.2822728271216226,26708.0,False,True,True,False,0.0,3.1667523288852255,"(104, 162, 132)","(124, 136, 186)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
512,0.6611740088928745,30282.0,True,True,True,True,0.0,0.0,"(93, 151, 206)","(109, 112, 237)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
769,0.7236158662795996,39153.0,False,True,False,False,0.63671875,1.029961908617559,"(102, 149, 122)","(118, 113, 143)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
