IMG_ID,dice_artery,artery_voxels,both_correct,both_tolerable,left_intersects,right_intersects,left_dist_mm,right_dist_mm,ostia_left,ostia_right,error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile
32,0.5965930655712085,16814.0,False,True,False,True,1.5089909983190133,0.0,"(109, 172, 161)","(137, 135, 210)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
647,0.7235253972896558,25206.0,False,True,False,False,1.42984758325079,0.8787673501354397,"(102, 160, 192)","(112, 129, 234)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
526,0.726634265502939,19293.0,False,True,False,False,1.0938058021479407,1.8564512201543297,"(89, 162, 157)","(111, 129, 193)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
339,0.6761912626971675,22658.0,False,True,False,True,2.508512120090438,0.0,"(97, 169, 154)","(107, 132, 203)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
810,,,False,False,False,False,0.9144296805249708,19.252897762820666,"(126, 133, 209)","(148, 70, 191)",,nenhum correto,scipy,N/A,"(2, 2, 1)",99.7
570,0.4392096650369712,14751.0,False,True,False,False,1.2734375,1.5089909983190133,"(94, 187, 198)","(112, 149, 226)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
899,0.4147741147741148,9302.0,False,True,False,True,2.875,0.0,"(87, 154, 182)","(108, 124, 207)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
606,,,False,False,False,False,1.3671875,20.38808839885609,"(83, 159, 157)","(87, 123, 137)",,nenhum correto,scipy,N/A,"(2, 2, 1)",99.7
364,0.21747065411257208,6981.0,False,True,False,True,0.7265625,0.0,"(107, 168, 133)","(127, 134, 176)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
813,0.7264954617267123,17051.0,False,True,True,False,0.0,1.0785919505091464,"(106, 190, 154)","(125, 153, 184)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
883,0.6305452771113732,23182.0,True,False,True,True,0.0,0.0,"(113, 167, 191)","(136, 137, 220)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
352,0.7238182094543244,23168.0,True,False,True,True,0.0,0.0,"(112, 149, 105)","(121, 112, 163)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
444,0.614122824564913,33764.0,False,True,True,False,0.0,1.6082605744080505,"(95, 168, 228)","(121, 128, 257)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
434,0.48594474368250395,17364.0,False,True,False,False,0.71484375,0.8723540490615392,"(95, 131, 146)","(113, 97, 183)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
291,0.7088263651503199,21626.0,False,True,False,False,1.328125,0.6640625,"(101, 138, 227)","(130, 110, 245)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
705,,,False,False,False,False,10.516129956301059,1.6876627525682524,"(108, 162, 167)","(120, 140, 207)",,nenhum correto,scipy,N/A,"(2, 2, 1)",99.7
219,0.3355327878686086,10186.0,False,True,False,False,0.9111615960418671,0.9111615960418671,"(95, 157, 173)","(118, 131, 211)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
227,0.318075117370892,19792.0,False,True,True,False,0.0,3.1667523288852255,"(104, 162, 132)","(124, 136, 186)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
512,0.6778813559322034,23956.0,True,False,True,True,0.0,0.0,"(93, 151, 206)","(109, 112, 237)",,ambos corretos,scipy,N/A,"(2, 2, 1)",99.7
769,0.7189196488858879,36386.0,False,True,False,False,0.63671875,1.029961908617559,"(102, 149, 122)","(118, 113, 143)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
870,0.014373716632443531,278.0,False,True,False,False,0.8564224849081498,1.6331862610496237,"(102, 156, 136)","(127, 126, 166)",,ambos toleráveis,scipy,N/A,"(2, 2, 1)",99.7
