variant,split,IMG_ID,threshold_mode,contextual_apply_to,artery_method,dice_artery,artery_voxels,ostia_success,ostia_found,ostia_status,both_correct,both_tolerable,left_dist_mm,right_dist_mm,segmentation_attempted,threshold_voxels,lcc_voxels,mean_contextual_weight,fc_processed_voxels,fc_effective_alpha,error
fuzzy_threshold_rg,train,752,contextual_object,none,region_growing,0.5454864882131221,28393,False,True,found_but_wrong,False,False,14.23387813433725,1.345667690480501,True,8650225,7894639,0.999847412109375,,,
fuzzy_threshold_rg,train,13,contextual_object,none,region_growing,0.5726145439260193,24482,True,True,both_tolerable,False,True,2.0859375,1.1031404921008474,True,12372849,12179331,0.9997400045394897,,,
fuzzy_threshold_rg,train,538,contextual_object,none,region_growing,0.5584175824175824,20786,True,True,both_tolerable,False,True,0.0,0.8095744354916121,True,12532653,12114218,0.9997305870056152,,,
fuzzy_threshold_rg,train,965,contextual_object,none,region_growing,0.48266838518171346,23544,True,True,both_tolerable,False,True,1.4820293967437015,5.215854595380919,True,12628468,12505877,0.9997977018356323,,,
fuzzy_threshold_rg,train,447,contextual_object,none,region_growing,0.467348882947666,11634,False,True,found_but_wrong,False,False,0.0,11.388690465010123,True,11714187,11546552,0.9997526407241821,,,
fuzzy_threshold_rg,train,836,contextual_object,none,region_growing,0.7438879393624136,26640,True,True,both_tolerable,False,True,0.9004562916672442,0.5,True,10909842,10360288,0.9997773766517639,,,
fuzzy_threshold_rg,train,603,contextual_object,none,region_growing,0.44924195407394274,14155,False,True,found_but_wrong,False,False,0.0,7.171684578422479,True,8533077,8297623,0.9997372031211853,,,
fuzzy_threshold_rg,train,676,contextual_object,none,region_growing,0.498019725091248,8475,True,True,both_tolerable,False,True,1.1576348337032387,0.8916609243998318,True,13159198,13006436,0.9997195601463318,,,
fuzzy_threshold_rg,train,44,contextual_object,none,region_growing,0.6151665931851106,51231,True,True,both_tolerable,False,True,0.58984375,0.0,True,7842157,7657360,0.9998665452003479,,,
fuzzy_threshold_rg,train,129,contextual_object,none,region_growing,0.7126259202623241,30096,True,True,both_tolerable,False,True,2.23828125,0.5,True,11855893,11678784,0.999755322933197,,,
fuzzy_threshold_rg,train,518,contextual_object,none,region_growing,0.7031857642298779,28907,True,True,both_tolerable,False,True,0.69140625,0.8532541254157887,True,11204670,10978823,0.9997923970222473,,,
fuzzy_threshold_rg,train,793,contextual_object,none,region_growing,0.7084307131049421,20164,True,True,both_tolerable,False,True,0.8437861682062879,2.7741306352170945,True,9434473,9275707,0.9997380971908569,,,
fuzzy_threshold_rg,train,550,contextual_object,none,region_growing,0.5425683420750981,11345,True,True,both_tolerable,False,True,0.0,1.6331862610496237,True,12685653,12575844,0.9997618794441223,,,
fuzzy_threshold_rg,train,631,contextual_object,none,region_growing,0.7243289305496379,24952,True,True,both_tolerable,False,True,0.0,1.113000238656758,True,11142810,10920683,0.9997514486312866,,,
fuzzy_threshold_rg,train,330,contextual_object,none,region_growing,0.6833082706766918,43215,True,True,both_tolerable,False,True,1.91015625,1.9745118129335317,True,10481184,10195906,0.9997949004173279,,,
fuzzy_threshold_rg,train,90,contextual_object,none,region_growing,0.38628865605626655,16858,True,True,both_tolerable,False,True,1.4761542507713454,0.5,True,11943286,11679967,0.9997464418411255,,,
fuzzy_threshold_rg,train,608,contextual_object,none,region_growing,0.6681823789633233,34612,True,True,both_tolerable,False,True,1.3680800657879093,0.5,True,8775577,8685681,0.9997642040252686,,,
fuzzy_threshold_rg,train,887,contextual_object,none,region_growing,0.5505830636791013,16442,True,True,both_tolerable,False,True,0.7890625,0.0,True,11192343,10857291,0.9997871518135071,,,
fuzzy_threshold_rg,train,175,contextual_object,none,region_growing,0.4602998676149133,41080,True,True,both_tolerable,False,True,0.9004562916672442,0.5,True,10016985,9828673,0.999761164188385,,,
fuzzy_threshold_rg,train,760,contextual_object,none,region_growing,0.7175127115112111,36729,True,True,both_tolerable,False,True,0.0,1.0541954870895625,True,11349816,10515839,0.9997721910476685,,,
