IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_segmentation_method,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,threshold_mode,fuzzy_mask_strategy,min_threshold_hu,max_threshold_hu,lower_threshold_method,lower_threshold_percentile,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_recovered_initialization,aorta_circle_filter_method,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_interpolated_count,aorta_circle_filter_synthetic_tail_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_circle_filter_fallback_enabled,aorta_circle_filter_accepted,aorta_circle_filter_rejected,aorta_circle_filter_rejection_reason,aorta_circle_filter_candidate_controller_state,aorta_circle_filter_fallback_controller_state,aorta_circle_filter_candidate_mask_voxel_count,aorta_circle_filter_mask_guided_fallback_enabled,aorta_circle_filter_mask_guided_fallback_attempted,aorta_circle_filter_mask_guided_fallback_accepted,aorta_circle_filter_mask_guided_fallback_rejection_reason,aorta_circle_filter_mask_guided_trim_start_slice,aorta_circle_filter_mask_guided_trimmed_tail_count,aorta_circle_filter_mask_guided_candidate_area_ratio_p90,aorta_circle_filter_mask_guided_retry_area_ratio_p90,aorta_circle_filter_mask_guided_candidate_fill_q25,aorta_circle_filter_mask_guided_retry_fill_q25,aorta_conditional_correction_enabled,aorta_conditional_correction_state,aorta_conditional_correction_attempted,aorta_conditional_correction_accepted,aorta_conditional_correction_method,aorta_conditional_leak_candidate_mode,aorta_conditional_correction_rejection_reason,aorta_conditional_circle_signal_count,aorta_conditional_original_circle_count,aorta_conditional_candidate_circle_count,aorta_conditional_hough_added_count,aorta_conditional_synthetic_added_count,aorta_conditional_baseline_area_ratio_p90,aorta_conditional_candidate_area_ratio_p90,aorta_conditional_baseline_fill_q25,aorta_conditional_candidate_fill_q25,aorta_conditional_baseline_volume_fraction,aorta_conditional_candidate_volume_fraction,aorta_conditional_baseline_slice_area_jump_p95,aorta_conditional_candidate_slice_area_jump_p95,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_mode,aorta_level_set_iterations_used,aorta_level_set_stop_reason,aorta_level_set_checkpoint_count,aorta_level_set_rolled_back,aorta_level_set_mask_change_fraction,aorta_level_set_voxels_per_segmented_slice,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_level_set_leak_suspected,aorta_level_set_localization_suspected,aorta_level_set_leak_signal_count,aorta_level_set_trigger_iteration,aorta_level_set_trigger_volume_fraction,aorta_level_set_trigger_relative_growth,aorta_level_set_trigger_mask_change_fraction,aorta_level_set_trigger_circle_fill_q25,aorta_level_set_trigger_circle_area_ratio_p90,aorta_level_set_correction_applied,aorta_level_set_correction_method,aorta_level_set_refinement_applied,aorta_level_set_refinement_accepted,aorta_level_set_refinement_iterations,aorta_level_set_refinement_balloon,aorta_level_set_refinement_smoothing,aorta_level_set_refinement_transition_mode,aorta_level_set_refinement_anomaly_margin_slices,aorta_level_set_refinement_volume_loss_fraction,aorta_level_set_slice_area_jump_p95_before,aorta_level_set_slice_area_jump_p95_after,aorta_level_set_refinement_rejection_reason,aorta_level_set_controller_state,aorta_level_set_profile_used,aorta_level_set_rollback_iteration,aorta_level_set_circle_confidence_signal_count,aorta_level_set_alternative_attempted,aorta_level_set_alternative_accepted,aorta_level_set_conservative_attempted,aorta_level_set_conservative_accepted,aorta_level_set_permissive_attempted,aorta_level_set_permissive_accepted,aorta_level_set_nominal_volume_fraction,aorta_level_set_nominal_circle_fill_q25,aorta_level_set_nominal_circle_area_ratio_p90,aorta_level_set_final_volume_fraction,aorta_level_set_decision_reason,ostia_surface_mode,ostia_surface_thickness_mm,ostia_candidate_score_mode,ostia_pair_selection_mode,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status,downscale_method,opencv_interpolation,downscale_factors,max_threshold_percentile,configured_lower_threshold_method,lcc_per_slice,lcc_mode,configured_artery_segmentation_method,aorta_miss_count,aorta_interpolate_missed_circles,aorta_trajectory_radius_factor,aorta_trajectory_axial_margin_slices,configured_aorta_correction_method
28,0.6709658928059616,0.3671066124177169,0.6709658928059616,0.3038592803882447,24661,6046,24661,region_growing,,,,,normal,,-300.0,1085.75,fixed,,11168529,10815776,275,18022400,120,120,0,155,274,0.43636363636363634,18.0,27.666666666666668,20.98887686387686,20.571428571428573,1.6181851129350713,19.39333333333333,23.5,12.09375,18.588541666666668,14.101901642917268,13.821428571428573,1.087218122753251,13.029895833333333,15.7890625,13.821428571428573,,15.453125,12.989583333333332,6.494791666666668,1.4781250000000017,0.4528602343926213,0.025,0.0,no,robust,False,120,120,0,0,0,,0.43636363636363634,0.43636363636363634,unchanged,False,False,False,,fixed,,191714,True,False,False,,,0,,,,,False,disabled,False,False,none,state_based,,0,120,120,0,0,,,,,,,,,191714,130,1474.7230769230769,0.01063753995028409,fixed,31,fixed_complete,1,no,,,0.8414939062209266,1.3831543188683086,no,no,0,,,,,,,no,none,no,no,,,,,,,0.08503092019075452,0.08503092019075452,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.01063753995028409,0.8414939062209266,1.3831543188683086,0.01063753995028409,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,1.0737001589130926,0.8375058302035873,"(103, 144, 181)","(128, 115, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes,2.25,10,none
380,0.5520222290830503,0.2980610151545232,0.5520222290830503,0.2539612139285271,42258,9855,42258,region_growing,,,,,normal,,-300.0,1052.25,fixed,,7807686,7670241,206,13500416,77,77,0,129,205,0.3737864077669903,18.5,29.0,25.576329622758195,26.5,3.0411843694847365,20.3,28.666666666666668,11.779296875,18.46484375,16.28492862699057,16.873046875,1.9363791102578596,12.925390625,18.252604166666668,16.873046875,,11.779296875,17.064062500000002,3.18359375,1.3280133928571445,0.5218283661235539,0.0,0.0,no,robust,False,77,77,0,0,0,,0.3737864077669903,0.3737864077669903,coverage_below_tail_threshold,False,False,False,,fixed,,208954,True,False,False,,,0,,,,,False,disabled,False,False,none,state_based,,0,77,77,0,0,,,,,,,,,208954,87,2401.770114942529,0.015477597134784587,fixed,31,fixed_complete,1,no,,,0.9872701555869873,1.7111704507267038,no,no,0,,,,,,,no,none,no,no,,,,,,,0.06584950802932085,0.06584950802932085,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.015477597134784587,0.9872701555869873,1.7111704507267038,0.015477597134784587,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,2.3495403733114086,1.739843048383334,"(93, 120, 120)","(113, 89, 166)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes,2.25,10,none
854,0.6313070183361936,0.3506543494996151,0.6313070183361936,0.2806526688365785,30979,6800,30979,region_growing,,,,,normal,,-300.0,953.25,fixed,,10723965,10472395,275,18022400,138,138,0,137,274,0.5018181818181818,18.0,26.125,22.72736369910283,23.13392857142857,2.023738597424238,19.85,25.25,11.4609375,16.63427734375,14.470938605288131,14.729806082589285,1.288552310078714,12.6388671875,16.0771484375,14.729806082589285,,13.37109375,14.64453125,2.228515625,0.8574479166666664,0.5034471690930958,0.014492753623188406,0.0,no,robust,False,138,138,0,0,0,,0.5018181818181818,0.5018181818181818,unchanged,False,False,False,,fixed,,254369,True,False,False,,,0,,,,,False,disabled,False,False,none,state_based,,0,138,138,0,0,,,,,,,,,254369,148,1718.7094594594594,0.01411404696377841,fixed,31,fixed_complete,1,no,,,0.9671452036688812,1.4808770406684864,no,no,0,,,,,,,no,none,no,no,,,,,,,0.1310030722194186,0.1310030722194186,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.01411404696377841,0.9671452036688812,1.4808770406684864,0.01411404696377841,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,1.2734375,0.63671875,"(99, 151, 157)","(124, 117, 185)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes,2.25,10,none
937,0.6849258025439128,0.3729897179013973,0.6849258025439128,0.3119360846425155,28809,6321,28809,region_growing,,,,,normal,,-300.0,969.75,fixed,,11867469,11567669,275,18022400,82,82,0,193,274,0.29818181818181816,18.0,27.0,21.02098863196424,20.9375,1.5170693040220697,19.05,22.96666666666667,12.515625,18.7734375,14.616156158162637,14.55810546875,1.0548372504528454,13.245703125,15.969010416666668,14.55810546875,,13.2109375,14.5146484375,4.751302083333332,1.6223958333333321,0.48099287205501334,0.024390243902439025,0.0,no,robust,False,82,82,0,0,0,,0.29818181818181816,0.29818181818181816,coverage_below_tail_threshold,False,False,False,,fixed,,128721,True,False,False,,,0,,,,,False,disabled,False,False,none,state_based,,0,82,82,0,0,,,,,,,,,128721,92,1399.141304347826,0.007142278497869318,fixed,31,fixed_complete,1,no,,,0.8860359767404593,1.2990102035906115,no,no,0,,,,,,,no,none,no,no,,,,,,,0.09118104118104117,0.09118104118104117,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.007142278497869318,0.8860359767404593,1.2990102035906115,0.007142278497869318,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,1.390625,2.160392872438078,"(106, 170, 209)","(115, 129, 227)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes,2.25,10,none
315,0.6464329441790685,0.327656943741921,0.6464329441790685,0.3187760004371475,28774,6371,28774,region_growing,,,,,normal,,-300.0,893.25,fixed,,12624120,12464696,275,18022400,134,134,0,141,274,0.48727272727272725,18.0,30.0,23.98137882018479,23.8,3.342128333366665,19.06,28.57,12.3046875,20.5078125,16.393520677860696,16.26953125,2.2846580403873684,13.029296875,19.5302734375,16.26953125,,19.140625,14.35546875,7.975260416666668,2.3857421875,0.39257153913892695,0.022388059701492536,0.014925373134328358,no,robust,True,134,113,0,5,26,166.0,0.48727272727272725,0.4109090909090909,persistent_tail_trimmed+stable_tail_extrapolated,False,True,False,,fixed,,365319,True,False,False,,,0,,,,,False,disabled,False,False,none,state_based,,0,134,134,0,0,,,,,,,,,365319,123,2970.0731707317073,0.020270274769176137,fixed,31,fixed_complete,1,no,,,0.9970972423802612,2.132962461548055,no,no,0,,,,,,,no,none,no,no,,,,,,,0.043106116138329195,0.043106116138329195,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.020270274769176137,0.9970972423802612,2.132962461548055,0.020270274769176137,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,no,no,3.160443532213873,0.5,"(106, 178, 155)","(115, 146, 217)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes,2.25,10,none
428,0.6272001624344868,0.33060752025689855,0.6272001624344868,0.2965926421775883,34759,9520,34759,region_growing,,,,,normal,,-300.0,916.5,fixed,,12653455,12504582,275,18022400,172,172,0,103,274,0.6254545454545455,18.0,30.0,23.970231173864896,24.333333333333332,3.5053531303555516,19.0,28.5,12.5859375,20.9765625,16.760435078600842,17.014322916666664,2.4510086341157957,13.28515625,19.927734375,17.014322916666664,,12.935546875,17.48046875,8.390625,3.7291666666666643,0.3742197868173797,0.046511627906976744,0.023255813953488372,no,robust,False,172,172,0,0,0,,0.6254545454545455,0.6254545454545455,tail_trim_fraction_exceeded,False,False,False,,fixed,,534917,True,True,False,persistent_mask_tail_not_found,,0,2.663351992108496,,0.995808860304201,,False,disabled,False,False,none,state_based,,0,172,172,0,0,,,,,,,,,534917,182,2939.1043956043954,0.029680675159801138,fixed,31,fixed_complete,1,no,,,0.995808860304201,2.663351992108496,no,no,0,,,,,,,no,none,no,no,,,,,,,0.08931274598849531,0.08931274598849531,not_attempted,fixed,nominal,,0,no,no,no,no,no,no,0.029680675159801138,0.995808860304201,2.663351992108496,0.029680675159801138,fixed_complete,erosion,2.0,voxel,greedy,yes,both tolerable,yes,no,,,no,yes,yes,no,0.0,1.2202077119702048,"(95, 167, 103)","(95, 120, 167)",,both ostia tolerable,opencv,linear,"(2, 2, 1)",99.9,fixed,yes,per_slice,region_growing,5,yes,2.25,10,none
