IMG_ID,artery_dice,artery_dice_before_morphology,artery_dice_after_morphology,artery_dice_morphology_delta,artery_voxel_count,artery_voxel_count_before_morphology,artery_voxel_count_after_morphology,artery_left_raw_voxels,artery_right_raw_voxels,fc_processed_voxels,fc_effective_alpha,fc_object_seed_count,fc_candidate_voxels_final,effective_upper_threshold_hu,threshold_voxel_count,lcc_voxel_count,image_slice_count,image_voxel_count,aorta_circle_count,aorta_detected_circle_count,aorta_interpolated_circle_count,aorta_circle_first_slice,aorta_circle_last_slice,aorta_circle_coverage,aorta_circle_radius_min_px,aorta_circle_radius_max_px,aorta_circle_radius_mean_px,aorta_circle_radius_median_px,aorta_circle_radius_std_px,aorta_circle_radius_p10_px,aorta_circle_radius_p90_px,aorta_circle_radius_min_mm,aorta_circle_radius_max_mm,aorta_circle_radius_mean_mm,aorta_circle_radius_median_mm,aorta_circle_radius_std_mm,aorta_circle_radius_p10_mm,aorta_circle_radius_p90_mm,aorta_detected_circle_radius_median_mm,aorta_interpolated_circle_radius_median_mm,aorta_circle_radius_first_mm,aorta_circle_radius_last_mm,aorta_circle_radius_max_step_change_mm,aorta_circle_radius_p90_step_change_mm,aorta_circle_mean_hough_accumulator,aorta_circle_lower_radius_bound_fraction,aorta_circle_upper_radius_bound_fraction,aorta_circle_filter_applied,aorta_circle_original_count,aorta_circle_used_count,aorta_circle_filter_synthetic_tail_count,aorta_circle_filter_trimmed_tail_count,aorta_circle_filter_trim_start_slice,aorta_circle_filter_detected_tail_start_slice,aorta_circle_filter_original_coverage,aorta_circle_filter_used_coverage,aorta_circle_filter_reason,aorta_mask_voxel_count,aorta_segmented_slice_count,aorta_voxels_per_segmented_slice,aorta_volume_fraction,aorta_level_set_initial_voxel_count,aorta_level_set_raw_voxel_count,aorta_level_set_initial_volume_fraction,aorta_level_set_raw_volume_fraction,aorta_level_set_iterations_used,aorta_level_set_circle_fill_q25,aorta_level_set_circle_area_ratio_p90,aorta_slice_area_jump_p95,aorta_segmentation_feedback,ostia_detected,ostia_detection_status,artery_segmentation_run,segmented_with_incorrect_ostia,segmentation_skip_reason,ostia_detection_error,both_ostia_correct,both_ostia_tolerable,left_ostium_correct,right_ostium_correct,left_ostium_distance_mm,right_ostium_distance_mm,left_ostium,right_ostium,pipeline_error,status
447,0.5373181810148283,0.3141493515884876,0.5373181810148283,0.2231688294263406,142543,19934,142543,,,,,,,842.0,46753679,46031914,245,,95,95,0,150,244,0.3877551020408163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,655906,,,,,,,,,,,,,yes,both_correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(240, 373, 174)","(241, 278, 194)",,both_correct
836,0.703194001887973,0.3876448893572181,0.703194001887973,0.3155491125307548,167044,27213,167044,,,,,,,786.0,43496654,41338438,275,,119,119,0,156,274,0.4327272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850719,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,no,yes,1.0067407394676675,0.0,"(208, 278, 174)","(256, 208, 209)",,both_tolerable
603,0.6623901019366438,0.3829192389434268,0.6623901019366438,0.279470862993217,203508,33459,203508,,,,,,,797.0,34043020,33071857,206,,68,68,0,138,205,0.3300970873786408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,567275,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,no,yes,0.318359375,0.0,"(162, 336, 167)","(237, 240, 189)",,both_tolerable
676,0.55871722707747,0.2206952715427291,0.55871722707747,0.3380219555347408,65626,9194,65626,,,,,,,882.0,52517427,51861114,275,,147,147,0,128,274,0.5345454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,939334,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,no,yes,2.0991950899415626,0.0,"(162, 372, 138)","(201, 323, 187)",,both_tolerable
44,0.0,0.0,0.0,0.0,1171475,176722,1171475,,,,,,,1020.0,31269752,30498136,206,,89,89,0,117,205,0.4320388349514563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1396496,,,,,,,,,,,,,yes,found_but_wrong,yes,yes,,,no,no,no,no,3.877482449696591,41.31766398094211,"(232, 166, 189)","(99, 113, 145)",,none_correct
129,0.6764757286442581,0.3720816744329983,0.6764757286442581,0.3043940542112598,203215,33669,203215,,,,,,,863.0,47323393,46555472,275,,125,125,0,150,274,0.4545454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957228,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,no,yes,1.5737291810080445,0.0,"(197, 316, 168)","(224, 234, 205)",,both_tolerable
518,0.4917660531058669,0.3292400533295909,0.4917660531058669,0.162525999776276,218716,25338,218716,,,,,,,555.0,44709302,43781750,243,,94,94,0,149,242,0.3868312757201646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641910,,,,,,,,,,,,,yes,both_correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(216, 327, 163)","(253, 258, 195)",,both_correct
793,0.5935456793038095,0.3174149192162255,0.5935456793038095,0.276130760087584,92586,12824,92586,,,,,,,656.0,37634213,36986144,206,,81,81,0,125,205,0.3932038834951456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,684700,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,yes,no,0.0,1.7815583614668649,"(193, 302, 144)","(222, 230, 181)",,both_tolerable
550,0.4998841567291311,0.2193196674806976,0.4998841567291311,0.2805644892484336,76129,10457,76129,,,,,,,802.0,50603893,50131149,275,,99,99,0,176,274,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584163,,,,,,,,,,,,,yes,both_tolerable,yes,no,,,no,yes,yes,no,0.0,1.2534924356105277,"(194, 317, 201)","(242, 257, 201)",,both_tolerable
631,0.627698447340525,0.3611377201385307,0.627698447340525,0.2665607272019943,152451,20464,152451,,,,,,,578.0,44464352,43548272,275,,138,138,0,137,274,0.5018181818181818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1377324,,,,,,,,,,,,,yes,both_correct,yes,no,,,yes,no,yes,yes,0.0,0.0,"(194, 267, 154)","(252, 185, 198)",,both_correct
